id,playerId,characterId,masteryPoints,wins,losses
399,26,16,0,0,1
347,21,11,28,4,6
304,61,11,1516,131,88
349,11,8,145,5,1
401,61,15,260,40,28
404,73,3,0,0,1
389,11,14,50,8,8
393,78,10,0,0,1
323,44,12,210,6,9
394,78,3,0,0,1
387,73,14,80,4,6
334,65,5,150,11,22
348,11,12,20,4,7
297,29,10,-10,6,10
344,21,12,160,8,2
376,8,14,5,2,8
324,44,11,205,8,14
311,59,12,139,5,14
429,83,7,40,1,2
390,38,6,180,5,0
336,12,11,91,4,2
29,1,1,650,85,61
364,73,10,25,3,7
365,73,4,170,9,10
321,6,12,100,4,1
422,83,5,0,0,1
385,73,8,85,4,3
357,44,6,231,9,6
397,5,15,225,22,22
296,29,8,490,54,36
382,38,11,88,4,8
367,71,12,1045,48,12
408,6,16,155,9,20
426,83,1,0,0,1
308,60,1,33,5,9
427,83,10,0,0,1
424,44,16,105,4,10
428,83,15,0,0,1
415,83,11,0,0,3
418,83,6,0,0,4
438,36,14,415,36,37
434,51,14,0,0,1
553,36,10,-65,1,7
461,92,16,0,0,4
550,113,12,1055,88,108
510,105,14,0,0,1
437,2,16,80,2,1
511,105,1,0,0,1
525,110,8,0,0,1
520,105,17,0,0,1
549,113,9,530,53,52
445,74,5,-99,5,15
531,109,11,1128,64,48
512,105,3,0,0,1
441,25,15,8,1,3
494,102,8,0,0,1
491,102,16,160,4,0
490,1,17,560,74,47
443,89,4,0,0,1
526,110,5,0,0,1
495,102,9,0,0,1
559,109,4,280,17,17
463,74,9,175,33,27
564,99,11,-20,0,2
493,102,4,40,1,1
466,97,10,0,0,1
446,91,4,100,5,6
562,98,2,40,1,1
514,101,7,0,0,1
462,91,12,80,4,11
521,107,9,0,0,1
481,100,3,-5,0,2
447,91,1,0,0,1
378,38,12,200,7,8
457,91,8,0,0,6
541,109,2,95,7,5
547,71,10,90,4,2
563,99,1,95,8,12
489,74,16,555,69,37
455,91,2,145,4,10
496,103,16,40,1,0
515,101,6,0,0,1
534,71,17,110,6,3
558,8,16,40,1,0
516,101,12,40,1,0
536,83,17,0,0,1
465,74,4,93,13,17
458,61,4,280,31,20
449,91,7,50,3,5
543,71,9,-20,3,8
567,30,16,40,1,8
472,96,16,0,0,1
569,121,16,40,1,2
484,101,11,40,1,0
554,115,4,0,0,1
480,44,14,193,10,13
479,100,4,360,10,11
442,71,11,690,27,27
459,72,15,0,0,1
460,92,10,0,0,1
501,101,8,70,4,2
482,100,9,5,3,3
538,109,16,55,4,7
448,91,6,183,6,4
444,71,2,230,8,9
530,109,9,76,7,13
560,118,16,40,1,0
566,113,2,370,25,9
528,109,8,256,24,29
548,109,14,-14,4,16
537,109,10,45,8,20
432,73,5,-2,0,7
519,105,15,40,1,0
527,109,1,15,4,8
507,105,8,40,1,1
561,98,10,40,1,1
486,100,2,0,1,1
451,74,6,926,101,76
478,100,16,0,2,4
539,101,5,-10,1,1
555,36,1,-20,7,12
453,91,16,328,13,45
488,101,4,165,5,4
546,72,3,80,2,1
505,105,10,0,0,3
467,99,2,1041,38,21
565,113,16,495,69,76
503,105,11,0,0,4
485,101,2,160,5,1
571,121,2,0,0,1
509,105,4,80,2,0
435,72,9,0,0,2
440,6,15,25,2,4
506,101,9,-30,1,5
471,61,2,550,51,37
504,105,2,40,1,1
508,105,5,0,0,3
523,78,2,120,3,0
533,74,1,85,9,9
522,105,12,0,0,2
532,109,17,80,4,8
540,101,17,-20,0,1
469,91,10,-30,0,2
452,36,16,165,26,33
474,21,14,100,5,5
556,116,2,40,1,0
513,101,14,-10,2,3
500,101,16,50,2,0
433,38,15,66,3,5
483,101,15,285,19,15
502,105,7,75,2,3
517,105,6,60,2,2
518,105,9,0,0,5
535,71,15,283,13,11
470,99,10,363,21,15
436,11,16,195,12,17
498,6,17,40,1,1
529,109,12,144,8,12
551,73,17,0,0,2
454,71,7,80,3,2
568,119,2,60,2,1
439,74,2,461,56,57
476,99,9,305,21,25
450,86,10,250,7,12
542,38,17,95,4,3
468,99,15,555,24,19
464,74,8,10,11,19
572,99,17,373,36,43
473,99,12,253,14,14
545,71,6,30,1,2
431,73,15,103,6,14
477,44,15,238,9,13
544,71,8,15,1,3
497,36,6,40,16,23
456,91,14,947,45,57
552,36,17,263,19,15
475,21,16,53,4,5
570,65,10,0,0,1
524,74,15,-12,36,53
492,91,17,250,12,34
557,36,8,-10,2,7
499,44,17,-10,0,3
