id,threadId,ladderResetId,winnerId,winnerCharacterId,loserId,loserCharacterId,ranked,finishedAt
290,,1,24,1,22,4,,1744051093921
291,,1,26,2,3,4,,1744051223197
292,,1,26,2,3,4,,1744051491707
293,,1,24,4,6,7,,1744051630173
294,,1,6,7,24,4,,1744052124379
295,,1,3,6,26,2,,1744052141933
296,,1,6,7,24,4,,1744052610962
297,,1,3,6,26,2,,1744052640935
298,,1,23,4,22,4,,1744052772347
299,,1,22,4,23,2,,1744053139998
300,,2,26,2,3,6,,1744053489119
301,,1,3,6,26,2,,1744053912553
302,,1,3,6,26,2,,1744054504761
303,,1,6,7,3,4,,1744055128062
304,,1,22,4,28,3,,1744055198991
305,,1,26,4,23,4,,1744055277294
306,,1,3,4,6,7,,1744055449218
307,,1,23,8,26,3,,1744055453564
308,,1,28,8,29,5,,1744055644909
309,,1,3,4,6,2,,1744055781244
310,,1,23,2,26,10,,1744055956324
311,,1,6,7,3,4,,1744056172276
312,,1,23,8,26,2,,1744056468489
313,,1,28,7,29,7,,1744056841264
314,,1,5,8,6,7,,1744057091330
315,,1,28,4,29,7,,1744057131840
316,,1,3,7,23,4,,1744057276600
317,,1,29,7,23,4,,1744057747346
318,,1,6,8,3,2,,1744058234738
319,,1,29,7,26,4,,1744058443317
320,,1,3,2,6,8,,1744058708710
321,,1,29,7,20,5,,1744058869430
322,,1,12,8,3,1,,1744059226679
323,,1,6,8,29,7,,1744059455705
324,,1,12,6,3,4,,1744059518020
325,,1,29,1,26,8,,1744059998684
326,,1,12,2,3,8,,1744060053895
327,,1,26,1,29,7,,1744060332598
328,,1,12,6,3,7,,1744060564422
329,,1,29,7,20,1,,1744060897067
330,,1,3,4,12,2,,1744061101979
331,,1,3,4,6,8,,1744061627546
332,,1,22,4,29,7,,1744062128455
333,,1,6,8,3,4,,1744062434229
334,,1,3,4,6,8,,1744062885447
335,,1,24,4,29,7,,1744063119307
336,,1,29,7,3,4,,1744063727844
337,,1,6,7,24,4,,1744063753158
338,,1,24,3,6,7,,1744064084958
339,,1,24,3,6,2,,1744064611048
340,,1,29,7,1,2,,1744064966255
341,,1,7,1,29,7,,1744065724938
342,,1,18,7,24,5,,1744065855351
343,,1,29,4,1,2,,1744066155378
344,,1,24,5,18,10,,1744066286421
345,,1,24,4,18,10,,1744066801067
346,,1,29,7,18,7,,1744067229034
347,,1,18,8,29,7,,1744067700178
348,,1,18,7,3,4,,1744069259068
349,,1,18,7,3,6,,1744070089932
350,,1,3,6,18,8,,1744070489089
351,,1,3,6,18,8,,1744071171764
352,,1,18,8,15,7,,1744071509654
353,,1,3,6,18,2,,1744071914063
354,,1,18,7,15,7,,1744072250174
355,,1,3,4,6,1,,1744072380672
356,,1,15,7,18,7,,1744072541205
357,,1,15,7,18,7,,1744072879941
358,,1,6,1,3,6,,1744073135638
359,,1,18,3,15,6,,1744073665532
360,,1,6,7,3,4,,1744073754988
361,,1,18,2,3,4,,1744074154214
362,,1,3,1,18,2,,1744074931314
363,,1,18,4,3,4,,1744075678720
364,,1,3,4,18,7,,1744076423322
365,,1,3,6,6,5,,1744077069517
366,,1,6,5,3,6,,1744077576088
367,,1,6,5,3,6,,1744078095765
368,,1,26,6,18,7,,1744078876981
369,,1,15,8,18,8,,1744080066087
370,,1,6,9,3,6,,1744080151151
371,,1,26,1,2,7,,1744080156633
372,,1,2,7,26,4,,1744080582335
373,,1,18,6,2,7,,1744081149275
374,,1,2,7,18,6,,1744081717585
375,,1,3,6,6,7,,1744081992074
376,,1,18,6,2,7,,1744082098072
377,,1,3,6,6,7,,1744082414371
378,,1,18,6,2,7,,1744082590199
379,,1,3,6,6,7,,1744082726656
380,,1,2,7,18,6,,1744083100426
381,,1,26,6,6,1,,1744083317848
382,,1,2,7,18,6,,1744083689785
383,,1,18,6,29,4,,1744084404183
384,,1,29,4,18,2,,1744084811311
385,,1,29,4,18,2,,1744085234935
386,,1,18,8,29,4,,1744086193836
387,,1,2,7,16,7,,1744086449524
